"","postgresID","SessionDateTime","final_role","Email","Organization","Attended","DisciplinesRepresented","OrgType","city","state","latitude","longitude","community_area"
"169","461","05/20/2020 - 9AM","Teaching Artist","2f0c375f","9e2a745c","Y","Dance","Partner","Evanston","IL",41.80224,-87.72171,NA
"170","461","05/06/2020 - 9AM","Teaching Artist","2f0c375f","9e2a745c","Y",NA,"Partner","Evanston","IL",41.70654,-87.6026,NA
"171","473","4/16/2020 - 9AM","Executive Director","63298231","f1fd523a","Y","Theatre;Literary Arts;Multi-disciplinary","Partner","Chicago","IL",41.96026,-87.76437,"Lincoln Square"
"172","492","05/15/2020 - 11AM","Community Member","422f9795","e6a4b214","Y",NA,"Partner","Chicago","IL",41.79339,-87.64088,"Loop"
"173","493","4/22/2020 - 2PM","Executive Director","489aa4fb","0dc87e13","Y",NA,"Partner","Chicago","IL",41.84959,-87.62542,"Uptown"
"174","493","4/27/2020 - 1PM","Executive Director","489aa4fb","0dc87e13","N",NA,"Partner","Chicago","IL",41.83405,-87.6501,"Uptown"
"175","516","4/20/2020 - 2PM","Executive Director","4f167501","f75fa5ee","Y",NA,"Partner","Chicago","IL",42.01063,-87.68496,"Uptown"
"176","53","4/22/2020 - 2PM","Teaching Artist","ab9a4c36","25f0c665","Y","Music;Theatre;Dance","Partner","Chicago","IL",41.94538,-87.68115,"Loop"
"177","53","4/16/2020 - 9AM","Program Manager","1943c3ca","25f0c665","Y","Multi-disciplinary","Partner","Chicago","IL",41.74852,-87.59129,"Loop"
"178","53","4/20/2020 - 2PM","Teaching Artist","333dbd65","25f0c665","Y",NA,"Partner","Chicago","IL",41.91912,-87.64555,"Loop"
"179","550","4/27/2020 - 1PM","Program Manager","ab4f73bc","75547fd6","Y",NA,"Partner","Skoke","IL",41.89912,-87.66807,NA
"180","550","5/06/2020 - 3PM","Program Manager","ab4f73bc","75547fd6","Y",NA,"Partner","Skoke","IL",41.84254,-87.69709,NA
"181","550","5/06/2020 - 3PM","Program Manager","c57889ea","75547fd6","N",NA,"Partner","Skoke","IL",41.69045,-87.71786,NA
"182","550","4/16/2020 - 9AM","Program Manager","b96921c3","75547fd6","Y","Theatre","Partner","Skoke","IL",41.87825,-87.66367,NA
"183","56","5/04/2020 - 2PM","Program Manager","ecaf5e4e","34b0346a","Y",NA,"Partner","Chicago","IL",41.90262,-87.68613,"Near North Side"
"184","58","4/20/2020 - 2PM","Program Manager","20d50dbd","578cd0d7","Y",NA,"Partner","Chicago","IL",41.85372,-87.66364,"Loop"
"185","58","5/04/2020 - 2PM","Program Manager","20d50dbd","578cd0d7","Y",NA,"Partner","Chicago","IL",41.91619,-87.72246,"Loop"
"186","58","4/16/2020 - 12PM","Program Manager","20d50dbd","578cd0d7","Y","Music","Partner","Chicago","IL",41.7653535,-87.6581405,"Loop"
