"","Organization","enrollment","demo"
"154","4e36a15e",70,"reduced_lunch"
"155","0db8e282",3,"asian"
"156","0db8e282",3,"multi_racial"
"157","0db8e282",31,"black"
"158","0db8e282",503,"hispanic"
"159","0db8e282",7,"white"
"160","0db8e282",487,"reduced_lunch"
"161","0db8e282",0,"hawaiian"
"162","0db8e282",329,"limited_english"
"163","0db8e282",0,"other_na"
"164","0db8e282",0,"native_american"
"165","0db8e282",92,"special_education"
"166","c5d0280f",4,"asian"
"167","c5d0280f",66,"limited_english"
"168","c5d0280f",34,"black"
"169","c5d0280f",161,"reduced_lunch"
"170","c5d0280f",0,"native_american"
"171","c5d0280f",10,"multi_racial"
"172","c5d0280f",63,"special_education"
"173","c5d0280f",1,"hawaiian"
"174","c5d0280f",90,"white"
"175","c5d0280f",179,"hispanic"
"176","c5d0280f",0,"other_na"
"177","e1eb0efb",2,"multi_racial"
"178","e1eb0efb",0,"asian"
"179","e1eb0efb",39,"special_education"
"180","e1eb0efb",0,"native_american"
"181","e1eb0efb",278,"black"
"182","e1eb0efb",1,"limited_english"
"183","e1eb0efb",6,"hispanic"
"184","e1eb0efb",0,"hawaiian"
"185","e1eb0efb",215,"reduced_lunch"
"186","e1eb0efb",0,"white"
"187","e1eb0efb",0,"other_na"
"188","ea9f1980",553,"white"
"189","ea9f1980",0,"other_na"
"190","ea9f1980",22,"limited_english"
"191","ea9f1980",11,"hawaiian"
"192","ea9f1980",55,"black"
"193","ea9f1980",3,"native_american"
"194","ea9f1980",24,"asian"
"195","ea9f1980",7,"multi_racial"
"196","ea9f1980",70,"special_education"
"197","ea9f1980",91,"reduced_lunch"
"198","ea9f1980",105,"hispanic"
"199","ff91fff5",17,"multi_racial"
"200","ff91fff5",147,"white"
"201","ff91fff5",0,"native_american"
"202","ff91fff5",193,"reduced_lunch"
"203","ff91fff5",0,"other_na"
"204","ff91fff5",45,"special_education"
"205","ff91fff5",0,"hawaiian"
"206","ff91fff5",54,"limited_english"
"207","ff91fff5",194,"hispanic"
"208","ff91fff5",57,"black"
"209","ff91fff5",5,"asian"
"210","fc68a09f",15,"asian"
"211","eaf6fb0f",15,"asian"
"212","fc68a09f",25,"black"
"213","eaf6fb0f",25,"black"
"214","fc68a09f",0,"other_na"
"215","eaf6fb0f",0,"other_na"
"216","fc68a09f",570,"hispanic"
"217","eaf6fb0f",570,"hispanic"
"218","fc68a09f",255,"white"
"219","eaf6fb0f",255,"white"
"220","fc68a09f",12,"multi_racial"
"221","eaf6fb0f",12,"multi_racial"
"222","fc68a09f",629,"reduced_lunch"
"223","eaf6fb0f",629,"reduced_lunch"
"224","fc68a09f",129,"special_education"
"225","eaf6fb0f",129,"special_education"
"226","fc68a09f",10,"hawaiian"
"227","eaf6fb0f",10,"hawaiian"
"228","fc68a09f",152,"limited_english"
"229","eaf6fb0f",152,"limited_english"
"230","fc68a09f",23,"native_american"
"231","eaf6fb0f",23,"native_american"
"232","b79e4886",59,"special_education"
"233","14b3483a",59,"special_education"
"234","b79e4886",234,"white"
"235","14b3483a",234,"white"
"236","b79e4886",2,"hawaiian"
"237","14b3483a",2,"hawaiian"
"238","b79e4886",65,"limited_english"
"239","14b3483a",65,"limited_english"
"240","b79e4886",195,"hispanic"
"241","14b3483a",195,"hispanic"
"242","b79e4886",0,"native_american"
"243","14b3483a",0,"native_american"
"244","b79e4886",50,"multi_racial"
"245","14b3483a",50,"multi_racial"
"246","b79e4886",16,"asian"
"247","14b3483a",16,"asian"
"248","b79e4886",198,"reduced_lunch"
"249","14b3483a",198,"reduced_lunch"
"250","b79e4886",0,"other_na"
"251","14b3483a",0,"other_na"
"252","b79e4886",52,"black"
"253","14b3483a",52,"black"
"254","0bb73793",2,"asian"
"255","0bb73793",34,"white"
"256","0bb73793",13,"multi_racial"
"257","0bb73793",34,"black"
"258","0bb73793",0,"other_na"
"259","0bb73793",3,"native_american"
"260","0bb73793",1,"hawaiian"
"261","0bb73793",350,"reduced_lunch"
"262","0bb73793",195,"limited_english"
"263","0bb73793",81,"special_education"
"264","0bb73793",385,"hispanic"
"265","696658df",201,"black"
"266","696658df",0,"other_na"
"267","696658df",6,"native_american"
"268","696658df",244,"hispanic"
"269","696658df",40,"multi_racial"
"270","696658df",213,"white"
"271","696658df",299,"reduced_lunch"
"272","696658df",25,"asian"
"273","696658df",4,"hawaiian"
"274","696658df",54,"limited_english"
"275","696658df",55,"special_education"
"276","699923dd",0,"native_american"
"277","699923dd",0,"white"
"278","699923dd",0,"multi_racial"
"279","699923dd",12,"hispanic"
"280","699923dd",1,"hawaiian"
"281","699923dd",370,"black"
"282","699923dd",330,"reduced_lunch"
"283","699923dd",0,"asian"
"284","699923dd",0,"limited_english"
"285","699923dd",70,"special_education"
"286","699923dd",3,"other_na"
"287","dc351f27",2,"white"
"288","dc351f27",0,"native_american"
"289","dc351f27",0,"hawaiian"
"290","dc351f27",206,"reduced_lunch"
"291","dc351f27",74,"limited_english"
"292","dc351f27",73,"special_education"
"293","dc351f27",32,"black"
"294","dc351f27",184,"hispanic"
"295","dc351f27",0,"multi_racial"
"296","dc351f27",0,"other_na"
"297","dc351f27",0,"asian"
"298","8c38327e",130,"limited_english"
"299","8c38327e",1,"asian"
"300","8c38327e",108,"special_education"
"301","8c38327e",568,"hispanic"
"302","8c38327e",2,"other_na"
"303","8c38327e",0,"native_american"
"304","8c38327e",573,"reduced_lunch"
"305","8c38327e",10,"white"
"306","8c38327e",11,"black"
"307","8c38327e",0,"hawaiian"
"308","8c38327e",0,"multi_racial"
"309","a26f565f",0,"native_american"
"310","a26f565f",71,"special_education"
"311","a26f565f",429,"reduced_lunch"
"312","a26f565f",468,"black"
"313","a26f565f",12,"hispanic"
"314","a26f565f",2,"multi_racial"
"315","a26f565f",0,"other_na"
"316","a26f565f",0,"asian"
"317","a26f565f",1,"white"
"318","a26f565f",0,"limited_english"
"319","a26f565f",1,"hawaiian"
"320","fb14a8df",1,"native_american"
"321","fb14a8df",6,"white"
"322","fb14a8df",6,"black"
"323","fb14a8df",75,"hispanic"
"324","fb14a8df",6,"special_education"
"325","fb14a8df",1,"other_na"
"326","fb14a8df",1,"multi_racial"
"327","fb14a8df",38,"reduced_lunch"
"328","fb14a8df",0,"hawaiian"
"329","fb14a8df",20,"limited_english"
"330","fb14a8df",2,"asian"
