"","postgresID","SessionDateTime","final_role","Email","Organization","Attended","DisciplinesRepresented","OrgType","city","state","latitude","longitude","community_area"
"1","168","05/11/2020 - 4PM","Teacher","c75845fc","47e41ab6","Y","Dance","School","Chicago","IL",41.8750799907161,-87.6284150852204,"Loop"
"2","17","4/30/2020 - 9AM","Teaching Artist","7562d238","f49293a3","Y","Multi-disciplinary","School","Chicago","IL",41.9030268276066,-87.6932242111768,"West Town"
"3","191","5/04/2020 - 2PM","Teacher","d1193792","e3f144e0","N",NA,"School","Chicago","IL",41.8150283881758,-87.699594330769,"Brighton Park"
"4","204","4/16/2020 - 12PM","Teaching Artist","da6deace","c0119cbc","N",NA,"School","Chicago","IL",41.9890930508653,-87.6635799464151,"Edgewater"
"5","204","5/06/2020 - 3PM","Teaching Artist","da6deace","a63be41f","Y",NA,"School","Chicago","IL",41.990505503672,-87.6672958033366,"Edgewater"
"6","204","4/30/2020 - 9AM","Teaching Artist","da6deace","a63be41f","N",NA,"School","Chicago","IL",41.990674521441,-87.6640743217013,"Edgewater"
"7","204","4/30/2020 - 9AM","Teacher","c98c31cf","a63be41f","N","Theatre","School","Chicago","IL",41.9852747901049,-87.6591704150771,"Edgewater"
"8","204","05/07/2020 - 4PM","Teacher","5f6b4519","96e938e9","Y","Theatre","School","Chicago","IL",41.9895322369384,-87.6604897305493,"Edgewater"
"9","204","05/07/2020 - 4PM","Teacher","c98c31cf","96e938e9","Y","Theatre","School","Chicago","IL",41.992195849054,-87.6593559270099,"Edgewater"
"10","204","05/20/2020 - 9AM","CPS Administrator","6d89ecab","96e938e9","Y",NA,"School","Chicago","IL",41.9875127349891,-87.6693438936904,"Edgewater"
"11","204","05/06/2020 - 9AM","CPS Administrator","6d89ecab","91238f6b","Y",NA,"School","Chicago","IL",41.9882459874464,-87.6628640946592,"Edgewater"
"12","204","05/11/2020 - 4PM","Teacher","c98c31cf","96e938e9","N","Theatre","School","Chicago","IL",41.9901923883806,-87.6675809282739,"Edgewater"
"13","204","05/11/2020 - 4PM","Teacher","95634cbc","96e938e9","Y","Music","School","Chicago","IL",41.9912242908562,-87.6745315300249,"Edgewater"
"14","211","05/07/2020 - 4PM","Teacher","f020f1d9","fcf08c45","Y","Music","School","Chicago","IL",41.9163984567143,-87.6500227324663,"Lincoln Park"
"15","220","05/07/2020 - 4PM","Teacher","ef85ed02","0e1f327c","Y","Music","School","Chicago","IL",41.9775517269961,-87.7153330349366,"North Park"
"16","222","05/07/2020 - 4PM","Teacher","0247cfdb","2b515aad","N","Theatre","School","Chicago","IL",41.8113695921366,-87.5953927471914,"Kenwood"
"17","226","05/11/2020 - 4PM","Teacher","59fc903b","bbd3bfc6","Y","Dance","School","Chicago","IL",41.8018901049263,-87.7294775581619,"Archer Heights"
"18","226","05/11/2020 - 4PM","Teacher","823ec67e","bbd3bfc6","Y","Dance","School","Chicago","IL",41.8026337649992,-87.728331888585,"Archer Heights"
"19","262","5/04/2020 - 2PM","Teacher","0a7dcb6a","f93b9a24","N",NA,"School","Chicago","IL",42.0075283170076,-87.6949234430855,"West Ridge"
"20","262","05/11/2020 - 4PM","Teacher","0a7dcb6a","c3c63846","N","Visual Arts","School","Chicago","IL",42.0008433822146,-87.7061094907074,"West Ridge"
"21","262","05/11/2020 - 4PM","Teacher","b8406834","c3c63846","Y","Music","School","Chicago","IL",42.004388483606,-87.7033199481943,"West Ridge"
"22","272","05/11/2020 - 4PM","Teacher","4a5c1ed0","35df8e77","N","Visual_arts","School","Chicago","IL",41.7617405618807,-87.5694621336627,"South Shore"
"23","272","05/07/2020 - 4PM","Teacher","4a5c1ed0","35df8e77","Y","Visual_arts","School","Chicago","IL",41.7643813114116,-87.5764601648645,"South Shore"
"24","337","05/11/2020 - 4PM","Teacher","34b473f9","5cb85dee","N","Visual Arts","School","Chicago","IL",42.001356599569,-87.7538015170515,"Forest Glen"
"25","365","5/07/2020 - 9AM","Teaching Artist","7ea6264f","ae974e7e","Y",NA,"School","Chicago","IL",41.9789767300625,-87.7999676679799,"Norwood Park"
